key_skills
c# angularjs css html5 asp.net mvc sql jquery mysql javascript bootstrap c# .net react.js
uml agile data structures application development oracle apache wpf middleware sdlc sql
git linux uml coding ooad consulting agile windows unit testing
linq uml agile data structures application development oracle wpf middleware sdlc sql
supply chain analyst automation analytical scala data collection financial services android python logistics
quality testing texturing maya animation workflow management photoshop vray
computer science front end vb.net web technologies coding asp.net mvc monitoring sql
computer science front end coding javascript php html mvc sql ajax css3
computer science ios android
content management jquery management systems illustrator social media web development javascript html seo visual design
interpersonal communication front end git html5 wordpress javascript svn jquery web designing plugins
hibernate javascript spring core java postgresql jquery ajax sql
montessori daycare day care teaching fresher nursery preschool
angularjs front end css ux html node.js jquery dhtml mean stack web web developer wordpress ui development javascript front end design mongodb react.js
java git html
div java css c++ c open source .net html test cases sql
automation communication protocols mechatronics vb script analytical perl data quality management macros python
trainee web technologies
qa test complete defect management test reporting automation framework automation testing selenium jira test scripts sql
automation front end git ui testing javascript healthcare http android css3
core java web services jquery mysql debugging javascript agile html scrum scm
internal audit aml wealth management investment banking financial services global compliance finance management risk management
internal audit drafting wealth management investment banking financial services global compliance finance legal
communication skills customer support international voice process word email typing speed calling english excel chat spanish internet crm
secretarial activities
c# wpf
general surgery
qa manual testing qa testing automation testing selenium
c# asp.net sql server web technologies .net jquery net ajax
virtual assistant fresher international bpo backend operations bpo fresher international voice process voice support client servicing blended process client servicing executive
java
business intelligence inside sales business development corporate sales marketing
itil certified ccna ccnp
unity3d gaming
angularjs jquery web technologies wordpress php laravel codeigniter
angularjs css front end html5 javascript json photoshop ajax
test engineering software development software testing
test engineering software development software testing
networking router fresher
premier storyboarding illustrator captivate articulate storyline photoshop flash indesign adobe audition
ms office bcom bba fresher
manual
graphics industrial design illustrator interaction design animation product design photoshop adobe logistics visual design
css ux html5 node.js jquery iot front end ui javascript bootstrap mongodb mvc react.js agile development
sap sd
google webmaster tools keyword research website analysis internet marketing online marketing off-page optimization digital marketing seo search engine optimization
